  [2022-05-06 16:10:18,062], , [restartedMain], user-management-service, INFO  DevToolsPropertyDefaultsPostProcessor logTo | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
0df2f51790ad2973 0df2f51790ad2973 [2022-05-06 16:19:14,481], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-5], user-management-service, INFO  LoggingAspect profileAllMethods | Start of LoginController.userPasswordChange
0df2f51790ad2973 0df2f51790ad2973 [2022-05-06 16:19:14,482], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-5], user-management-service, INFO  LoginController userPasswordChange | User Reset Password Request Received
0df2f51790ad2973 0df2f51790ad2973 [2022-05-06 16:19:14,485], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-5], user-management-service, INFO  LoggingAspect profileAllMethods | Start of LoginServiceImpl.userChangePasswordService
0df2f51790ad2973 0df2f51790ad2973 [2022-05-06 16:19:22,966], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-5], user-management-service, INFO  LoginServiceImpl userChangePasswordService | Getting user Data from database on the basis of userId
0df2f51790ad2973 0df2f51790ad2973 [2022-05-06 16:19:24,710], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-5], user-management-service, INFO  LoggingAspect profileAllMethods | Start of LoginUserRepo.findByUserIdOrMobile
0df2f51790ad2973 0df2f51790ad2973 [2022-05-06 16:19:25,459], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-5], user-management-service, INFO  LoggingAspect profileAllMethods | END of LoginUserRepo.findByUserIdOrMobile
0df2f51790ad2973 0df2f51790ad2973 [2022-05-06 16:19:25,486], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-5], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of LoginUserRepo.findByUserIdOrMobile :: 777 ms
0df2f51790ad2973 0df2f51790ad2973 [2022-05-06 16:20:32,245], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-5], user-management-service, INFO  LoggingAspect profileAllMethods | Start of ExceptionControllerAdvisor.getUserValidity
0df2f51790ad2973 0df2f51790ad2973 [2022-05-06 16:20:33,802], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-5], user-management-service, ERROR ExceptionControllerAdvisor getUserValidity | Exception occured : Old password is not matching
0df2f51790ad2973 0df2f51790ad2973 [2022-05-06 16:20:33,826], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-5], user-management-service, INFO  LoggingAspect profileAllMethods | END of ExceptionControllerAdvisor.getUserValidity
0df2f51790ad2973 0df2f51790ad2973 [2022-05-06 16:20:33,832], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-5], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of ExceptionControllerAdvisor.getUserValidity :: 1591 ms
0df2f51790ad2973 0df2f51790ad2973 [2022-05-06 16:20:33,942], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-5], user-management-service, INFO  LoggingAspect profileAllMethods | Start of CustomResponseBodyAdvice.supports
0df2f51790ad2973 0df2f51790ad2973 [2022-05-06 16:20:33,962], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-5], user-management-service, INFO  LoggingAspect profileAllMethods | END of CustomResponseBodyAdvice.supports
0df2f51790ad2973 0df2f51790ad2973 [2022-05-06 16:20:33,962], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-5], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of CustomResponseBodyAdvice.supports :: 21 ms
0df2f51790ad2973 0df2f51790ad2973 [2022-05-06 16:20:34,157], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-5], user-management-service, WARN  ExceptionHandlerExceptionResolver logException | Resolved [com.nsdl.auth.exception.DateParsingException]
0df2f51790ad2973 0df2f51790ad2973 [2022-05-06 16:20:34,214], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-5], user-management-service, INFO  LoggingAspect profileAllMethods | Start of CustomInterceptor.afterCompletion
0df2f51790ad2973 0df2f51790ad2973 [2022-05-06 16:20:34,216], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-5], user-management-service, INFO  LoggingAspect profileAllMethods | END of CustomInterceptor.afterCompletion
0df2f51790ad2973 0df2f51790ad2973 [2022-05-06 16:20:34,217], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-5], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of CustomInterceptor.afterCompletion :: 3 ms
bf9447562da35b89 bf9447562da35b89 [2022-05-06 16:31:07,671], , [http-nio-7072-exec-10], user-management-service, INFO  LoggingAspect profileAllMethods | Start of CustomInterceptor.preHandle
bf9447562da35b89 bf9447562da35b89 [2022-05-06 16:31:07,742], , [http-nio-7072-exec-10], user-management-service, INFO  LoggingAspect profileAllMethods | END of CustomInterceptor.preHandle
bf9447562da35b89 bf9447562da35b89 [2022-05-06 16:31:07,742], , [http-nio-7072-exec-10], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of CustomInterceptor.preHandle :: 78 ms
bf9447562da35b89 bf9447562da35b89 [2022-05-06 16:31:08,058], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-10], user-management-service, INFO  LoggingAspect profileAllMethods | Start of LoginController.userPasswordChange
bf9447562da35b89 bf9447562da35b89 [2022-05-06 16:31:08,065], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-10], user-management-service, INFO  LoginController userPasswordChange | User Reset Password Request Received
bf9447562da35b89 bf9447562da35b89 [2022-05-06 16:31:08,074], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-10], user-management-service, INFO  LoggingAspect profileAllMethods | Start of LoginServiceImpl.userChangePasswordService
bf9447562da35b89 bf9447562da35b89 [2022-05-06 16:31:16,928], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-10], user-management-service, INFO  LoginServiceImpl userChangePasswordService | Getting user Data from database on the basis of userId
bf9447562da35b89 bf9447562da35b89 [2022-05-06 16:31:17,910], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-10], user-management-service, INFO  LoggingAspect profileAllMethods | Start of LoginUserRepo.findByUserIdOrMobile
bf9447562da35b89 bf9447562da35b89 [2022-05-06 16:31:18,889], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-10], user-management-service, INFO  LoggingAspect profileAllMethods | END of LoginUserRepo.findByUserIdOrMobile
bf9447562da35b89 bf9447562da35b89 [2022-05-06 16:31:18,928], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-10], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of LoginUserRepo.findByUserIdOrMobile :: 1017 ms
bf9447562da35b89 bf9447562da35b89 [2022-05-06 16:31:33,556], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-10], user-management-service, ERROR LoginServiceImpl userChangePasswordService | user new password value and confirm password value : Not Matched
bf9447562da35b89 bf9447562da35b89 [2022-05-06 16:31:48,841], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-10], user-management-service, INFO  LoggingAspect profileAllMethods | Start of ExceptionControllerAdvisor.getUserValidity
bf9447562da35b89 bf9447562da35b89 [2022-05-06 16:31:50,955], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-10], user-management-service, ERROR ExceptionControllerAdvisor getUserValidity | Exception occured : New Password and Confirm Password should be same. Please enter password properly
bf9447562da35b89 bf9447562da35b89 [2022-05-06 16:31:50,964], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-10], user-management-service, INFO  LoggingAspect profileAllMethods | END of ExceptionControllerAdvisor.getUserValidity
bf9447562da35b89 bf9447562da35b89 [2022-05-06 16:31:50,967], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-10], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of ExceptionControllerAdvisor.getUserValidity :: 2126 ms
bf9447562da35b89 bf9447562da35b89 [2022-05-06 16:31:51,048], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-10], user-management-service, INFO  LoggingAspect profileAllMethods | Start of CustomResponseBodyAdvice.supports
bf9447562da35b89 bf9447562da35b89 [2022-05-06 16:31:51,051], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-10], user-management-service, INFO  LoggingAspect profileAllMethods | END of CustomResponseBodyAdvice.supports
bf9447562da35b89 bf9447562da35b89 [2022-05-06 16:31:51,052], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-10], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of CustomResponseBodyAdvice.supports :: 4 ms
bf9447562da35b89 bf9447562da35b89 [2022-05-06 16:31:51,086], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-10], user-management-service, WARN  ExceptionHandlerExceptionResolver logException | Resolved [com.nsdl.auth.exception.DateParsingException]
bf9447562da35b89 bf9447562da35b89 [2022-05-06 16:31:51,115], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-10], user-management-service, INFO  LoggingAspect profileAllMethods | Start of CustomInterceptor.afterCompletion
bf9447562da35b89 bf9447562da35b89 [2022-05-06 16:31:51,117], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-10], user-management-service, INFO  LoggingAspect profileAllMethods | END of CustomInterceptor.afterCompletion
bf9447562da35b89 bf9447562da35b89 [2022-05-06 16:31:51,118], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-10], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of CustomInterceptor.afterCompletion :: 3 ms
be1b84318d953705 be1b84318d953705 [2022-05-06 16:32:20,926], , [http-nio-7072-exec-9], user-management-service, INFO  LoggingAspect profileAllMethods | Start of CustomInterceptor.preHandle
be1b84318d953705 be1b84318d953705 [2022-05-06 16:32:20,933], , [http-nio-7072-exec-9], user-management-service, INFO  LoggingAspect profileAllMethods | END of CustomInterceptor.preHandle
be1b84318d953705 be1b84318d953705 [2022-05-06 16:32:20,934], , [http-nio-7072-exec-9], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of CustomInterceptor.preHandle :: 8 ms
be1b84318d953705 be1b84318d953705 [2022-05-06 16:32:20,963], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-9], user-management-service, INFO  LoggingAspect profileAllMethods | Start of LoginController.userPasswordChange
be1b84318d953705 be1b84318d953705 [2022-05-06 16:32:20,964], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-9], user-management-service, INFO  LoginController userPasswordChange | User Reset Password Request Received
be1b84318d953705 be1b84318d953705 [2022-05-06 16:32:20,965], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-9], user-management-service, INFO  LoggingAspect profileAllMethods | Start of LoginServiceImpl.userChangePasswordService
be1b84318d953705 be1b84318d953705 [2022-05-06 16:32:26,433], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-9], user-management-service, INFO  LoginServiceImpl userChangePasswordService | Getting user Data from database on the basis of userId
be1b84318d953705 be1b84318d953705 [2022-05-06 16:32:27,763], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-9], user-management-service, INFO  LoggingAspect profileAllMethods | Start of LoginUserRepo.findByUserIdOrMobile
be1b84318d953705 be1b84318d953705 [2022-05-06 16:32:28,432], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-9], user-management-service, INFO  LoggingAspect profileAllMethods | END of LoginUserRepo.findByUserIdOrMobile
be1b84318d953705 be1b84318d953705 [2022-05-06 16:32:28,460], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-9], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of LoginUserRepo.findByUserIdOrMobile :: 699 ms
be1b84318d953705 be1b84318d953705 [2022-05-06 16:32:42,959], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-9], user-management-service, INFO  LoggingAspect profileAllMethods | Start of UserHistoryRepo.checkLastThreePassword
be1b84318d953705 be1b84318d953705 [2022-05-06 16:32:43,259], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-9], user-management-service, INFO  LoggingAspect profileAllMethods | END of UserHistoryRepo.checkLastThreePassword
be1b84318d953705 be1b84318d953705 [2022-05-06 16:32:43,280], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-9], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of UserHistoryRepo.checkLastThreePassword :: 321 ms
be1b84318d953705 be1b84318d953705 [2022-05-06 16:32:47,740], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-9], user-management-service, ERROR LoginServiceImpl userChangePasswordService | New password matches with last three password 
be1b84318d953705 be1b84318d953705 [2022-05-06 16:32:52,258], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-9], user-management-service, INFO  LoggingAspect profileAllMethods | Start of ExceptionControllerAdvisor.getUserValidity
be1b84318d953705 be1b84318d953705 [2022-05-06 16:32:52,259], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-9], user-management-service, ERROR ExceptionControllerAdvisor getUserValidity | Exception occured : New Password should not Match with last 3 passwords
be1b84318d953705 be1b84318d953705 [2022-05-06 16:32:52,260], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-9], user-management-service, INFO  LoggingAspect profileAllMethods | END of ExceptionControllerAdvisor.getUserValidity
be1b84318d953705 be1b84318d953705 [2022-05-06 16:32:52,262], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-9], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of ExceptionControllerAdvisor.getUserValidity :: 4 ms
be1b84318d953705 be1b84318d953705 [2022-05-06 16:32:52,267], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-9], user-management-service, INFO  LoggingAspect profileAllMethods | Start of CustomResponseBodyAdvice.supports
be1b84318d953705 be1b84318d953705 [2022-05-06 16:32:52,270], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-9], user-management-service, INFO  LoggingAspect profileAllMethods | END of CustomResponseBodyAdvice.supports
be1b84318d953705 be1b84318d953705 [2022-05-06 16:32:52,271], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-9], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of CustomResponseBodyAdvice.supports :: 4 ms
be1b84318d953705 be1b84318d953705 [2022-05-06 16:32:52,276], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-9], user-management-service, WARN  ExceptionHandlerExceptionResolver logException | Resolved [com.nsdl.auth.exception.DateParsingException]
be1b84318d953705 be1b84318d953705 [2022-05-06 16:32:52,278], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-9], user-management-service, INFO  LoggingAspect profileAllMethods | Start of CustomInterceptor.afterCompletion
be1b84318d953705 be1b84318d953705 [2022-05-06 16:32:52,279], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-9], user-management-service, INFO  LoggingAspect profileAllMethods | END of CustomInterceptor.afterCompletion
be1b84318d953705 be1b84318d953705 [2022-05-06 16:32:52,280], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-9], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of CustomInterceptor.afterCompletion :: 2 ms
  [2022-05-06 16:34:28,513], , [Thread-9], user-management-service, INFO  ThreadPoolTaskExecutor shutdown | Shutting down ExecutorService 'applicationTaskExecutor'
  [2022-05-06 16:34:28,549], , [Thread-9], user-management-service, INFO  LocalContainerEntityManagerFactoryBean destroy | Closing JPA EntityManagerFactory for persistence unit 'default'
  [2022-05-06 16:34:28,611], , [Thread-9], user-management-service, INFO  HikariDataSource close | HikariPool-1 - Shutdown initiated...
  [2022-05-06 16:34:28,641], , [Thread-9], user-management-service, INFO  HikariDataSource close | HikariPool-1 - Shutdown completed.
  [2022-05-06 16:34:30,259], , [restartedMain], user-management-service, INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker postProcessAfterInitialization | Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$37420c34] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
  [2022-05-06 16:34:30,643], , [restartedMain], user-management-service, INFO  ConfigServicePropertySourceLocator getRemoteEnvironment | Fetching config from server at : http://172.30.151.100:51000/config
  [2022-05-06 16:34:32,103], , [restartedMain], user-management-service, INFO  ConfigServicePropertySourceLocator log | Located environment: name=user-management-service, profiles=[dev], label=1.0.0, version=221, state=null
  [2022-05-06 16:34:32,105], , [restartedMain], user-management-service, INFO  PropertySourceBootstrapConfiguration initialize | Located property source: CompositePropertySource {name='configService', propertySources=[MapPropertySource {name='configClient'}, MapPropertySource {name='http://172.16.11.166/telemed-ivv/branches/1.0.0/application-dev.properties'}]}
  [2022-05-06 16:34:32,177], , [restartedMain], user-management-service, INFO  UserManagementServiceApplication logStartupProfileInfo | The following profiles are active: dev
  [2022-05-06 16:34:33,962], , [restartedMain], user-management-service, INFO  RepositoryConfigurationDelegate registerRepositoriesIn | Bootstrapping Spring Data repositories in DEFAULT mode.
  [2022-05-06 16:34:34,186], , [restartedMain], user-management-service, INFO  RepositoryConfigurationDelegate registerRepositoriesIn | Finished Spring Data repository scanning in 223ms. Found 20 repository interfaces.
  [2022-05-06 16:34:34,352], , [restartedMain], user-management-service, INFO  GenericScope setSerializationId | BeanFactory id=9eb1641f-158c-3c39-ae91-f40c5f1b3729
  [2022-05-06 16:34:34,459], , [restartedMain], user-management-service, INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker postProcessAfterInitialization | Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$1b280937] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
  [2022-05-06 16:34:34,496], , [restartedMain], user-management-service, INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker postProcessAfterInitialization | Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$37420c34] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
  [2022-05-06 16:34:35,121], , [restartedMain], user-management-service, INFO  TomcatWebServer initialize | Tomcat initialized with port(s): 7072 (http)
  [2022-05-06 16:34:35,130], , [restartedMain], user-management-service, INFO  Http11NioProtocol log | Initializing ProtocolHandler ["http-nio-7072"]
  [2022-05-06 16:34:35,130], , [restartedMain], user-management-service, INFO  StandardService log | Starting service [Tomcat]
  [2022-05-06 16:34:35,130], , [restartedMain], user-management-service, INFO  StandardEngine log | Starting Servlet engine: [Apache Tomcat/9.0.16]
  [2022-05-06 16:34:35,186], , [restartedMain], user-management-service, INFO  [/usermanagement/v1/user] log | Initializing Spring embedded WebApplicationContext
  [2022-05-06 16:34:35,186], , [restartedMain], user-management-service, INFO  ContextLoader prepareWebApplicationContext | Root WebApplicationContext: initialization completed in 3004 ms
  [2022-05-06 16:34:36,838], , [restartedMain], user-management-service, INFO  HikariDataSource getConnection | HikariPool-2 - Starting...
  [2022-05-06 16:34:37,765], , [restartedMain], user-management-service, INFO  HikariDataSource getConnection | HikariPool-2 - Start completed.
  [2022-05-06 16:34:37,829], , [restartedMain], user-management-service, INFO  LogHelper logPersistenceUnitInformation | HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
  [2022-05-06 16:34:37,953], , [restartedMain], user-management-service, INFO  Dialect <init> | HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
  [2022-05-06 16:34:37,955], , [restartedMain], user-management-service, INFO  LobCreatorBuilderImpl makeLobCreatorBuilder | HHH000422: Disabling contextual LOB creation as connection was null
  [2022-05-06 16:34:37,956], , [restartedMain], user-management-service, INFO  BasicTypeRegistry register | HHH000270: Type registration [java.util.UUID] overrides previous : org.hibernate.type.UUIDBinaryType@1d877b9c
  [2022-05-06 16:34:46,470], , [restartedMain], user-management-service, INFO  QueryTranslatorFactoryInitiator initiateService | HHH000397: Using ASTQueryTranslatorFactory
  [2022-05-06 16:34:46,482], , [restartedMain], user-management-service, INFO  LocalContainerEntityManagerFactoryBean buildNativeEntityManagerFactory | Initialized JPA EntityManagerFactory for persistence unit 'default'
  [2022-05-06 16:34:46,754], , [restartedMain], user-management-service, INFO  OptionalLiveReloadServer startServer | LiveReload server is running on port 35729
  [2022-05-06 16:34:49,828], , [restartedMain], user-management-service, INFO  LoggingAspect profileAllMethods | Start of CustomInterceptorAppConfig.corsConfigurationSource
  [2022-05-06 16:34:49,837], , [restartedMain], user-management-service, INFO  LoggingAspect profileAllMethods | END of CustomInterceptorAppConfig.corsConfigurationSource
  [2022-05-06 16:34:49,837], , [restartedMain], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of CustomInterceptorAppConfig.corsConfigurationSource :: 9 ms
  [2022-05-06 16:34:50,320], , [restartedMain], user-management-service, INFO  ThreadPoolTaskExecutor initialize | Initializing ExecutorService 'applicationTaskExecutor'
  [2022-05-06 16:34:50,446], , [restartedMain], user-management-service, INFO  LoggingAspect profileAllMethods | Start of CustomInterceptorAppConfig.addInterceptors
  [2022-05-06 16:34:50,447], , [restartedMain], user-management-service, INFO  LoggingAspect profileAllMethods | END of CustomInterceptorAppConfig.addInterceptors
  [2022-05-06 16:34:50,447], , [restartedMain], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of CustomInterceptorAppConfig.addInterceptors :: 1 ms
  [2022-05-06 16:34:50,448], , [restartedMain], user-management-service, WARN  JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration openEntityManagerInViewInterceptor | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
  [2022-05-06 16:34:51,750], , [restartedMain], user-management-service, INFO  EndpointLinksResolver <init> | Exposing 2 endpoint(s) beneath base path '/actuator'
  [2022-05-06 16:34:51,937], , [restartedMain], user-management-service, INFO  Http11NioProtocol log | Starting ProtocolHandler ["http-nio-7072"]
  [2022-05-06 16:34:51,954], , [restartedMain], user-management-service, INFO  TomcatWebServer start | Tomcat started on port(s): 7072 (http) with context path '/usermanagement/v1/user'
  [2022-05-06 16:34:51,955], , [restartedMain], user-management-service, INFO  UserManagementServiceApplication logStarted | Started UserManagementServiceApplication in 22.104 seconds (JVM running for 1489.565)
  [2022-05-06 16:34:51,965], , [restartedMain], user-management-service, INFO  ConditionEvaluationDeltaLoggingListener onApplicationEvent | Condition evaluation unchanged
  [2022-05-06 16:41:30,725], , [http-nio-7072-exec-2], user-management-service, INFO  [/usermanagement/v1/user] log | Initializing Spring DispatcherServlet 'dispatcherServlet'
  [2022-05-06 16:41:30,727], , [http-nio-7072-exec-2], user-management-service, INFO  DispatcherServlet initServletBean | Initializing Servlet 'dispatcherServlet'
  [2022-05-06 16:41:30,792], , [http-nio-7072-exec-2], user-management-service, INFO  DispatcherServlet initServletBean | Completed initialization in 65 ms
8746977d7c9a67b5 8746977d7c9a67b5 [2022-05-06 16:41:30,804], , [http-nio-7072-exec-2], user-management-service, INFO  LoggingAspect profileAllMethods | Start of CustomInterceptor.preHandle
8746977d7c9a67b5 8746977d7c9a67b5 [2022-05-06 16:41:30,823], , [http-nio-7072-exec-2], user-management-service, INFO  LoggingAspect profileAllMethods | END of CustomInterceptor.preHandle
8746977d7c9a67b5 8746977d7c9a67b5 [2022-05-06 16:41:30,823], , [http-nio-7072-exec-2], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of CustomInterceptor.preHandle :: 19 ms
8746977d7c9a67b5 8746977d7c9a67b5 [2022-05-06 16:41:30,895], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-2], user-management-service, INFO  LoggingAspect profileAllMethods | Start of LoginController.userPasswordChange
8746977d7c9a67b5 8746977d7c9a67b5 [2022-05-06 16:41:30,914], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-2], user-management-service, INFO  LoginController userPasswordChange | User Reset Password Request Received
8746977d7c9a67b5 8746977d7c9a67b5 [2022-05-06 16:41:30,915], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-2], user-management-service, INFO  LoggingAspect profileAllMethods | Start of LoginServiceImpl.userChangePasswordService
8746977d7c9a67b5 8746977d7c9a67b5 [2022-05-06 16:41:37,359], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-2], user-management-service, INFO  LoginServiceImpl userChangePasswordService | Getting user Data from database on the basis of userId
8746977d7c9a67b5 8746977d7c9a67b5 [2022-05-06 16:41:39,240], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-2], user-management-service, INFO  LoggingAspect profileAllMethods | Start of LoginUserRepo.findByUserIdOrMobile
8746977d7c9a67b5 8746977d7c9a67b5 [2022-05-06 16:41:40,506], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-2], user-management-service, INFO  LoggingAspect profileAllMethods | END of LoginUserRepo.findByUserIdOrMobile
8746977d7c9a67b5 8746977d7c9a67b5 [2022-05-06 16:41:40,526], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-2], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of LoginUserRepo.findByUserIdOrMobile :: 1287 ms
8746977d7c9a67b5 8746977d7c9a67b5 [2022-05-06 16:41:58,943], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-2], user-management-service, ERROR LoginServiceImpl userChangePasswordService | user new password format validation : Failed
8746977d7c9a67b5 8746977d7c9a67b5 [2022-05-06 16:42:04,917], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-2], user-management-service, INFO  LoggingAspect profileAllMethods | Start of ExceptionControllerAdvisor.getUserValidity
8746977d7c9a67b5 8746977d7c9a67b5 [2022-05-06 16:42:04,947], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-2], user-management-service, ERROR ExceptionControllerAdvisor getUserValidity | Exception occured : Password Should be Minimum 8 characters and contain at least one uppercase letter, one lowercase letter, one number and one special character
8746977d7c9a67b5 8746977d7c9a67b5 [2022-05-06 16:42:04,963], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-2], user-management-service, INFO  LoggingAspect profileAllMethods | END of ExceptionControllerAdvisor.getUserValidity
8746977d7c9a67b5 8746977d7c9a67b5 [2022-05-06 16:42:04,971], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-2], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of ExceptionControllerAdvisor.getUserValidity :: 54 ms
8746977d7c9a67b5 8746977d7c9a67b5 [2022-05-06 16:42:05,251], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-2], user-management-service, INFO  LoggingAspect profileAllMethods | Start of CustomResponseBodyAdvice.supports
8746977d7c9a67b5 8746977d7c9a67b5 [2022-05-06 16:42:05,276], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-2], user-management-service, INFO  LoggingAspect profileAllMethods | END of CustomResponseBodyAdvice.supports
8746977d7c9a67b5 8746977d7c9a67b5 [2022-05-06 16:42:05,276], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-2], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of CustomResponseBodyAdvice.supports :: 25 ms
8746977d7c9a67b5 8746977d7c9a67b5 [2022-05-06 16:42:05,306], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-2], user-management-service, WARN  ExceptionHandlerExceptionResolver logException | Resolved [com.nsdl.auth.exception.DateParsingException]
8746977d7c9a67b5 8746977d7c9a67b5 [2022-05-06 16:42:05,317], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-2], user-management-service, INFO  LoggingAspect profileAllMethods | Start of CustomInterceptor.afterCompletion
8746977d7c9a67b5 8746977d7c9a67b5 [2022-05-06 16:42:05,317], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-2], user-management-service, INFO  LoggingAspect profileAllMethods | END of CustomInterceptor.afterCompletion
